race_id,date,venue,race_no,race_name,surface,distance_m,class,field_size,weather,going,first_no,first_name,first_popularity,first_odds,second_no,second_name,second_popularity,second_odds,third_no,third_name,third_popularity,third_odds,win_payout,quinella_payout,wide_payouts,trio_payout,trifecta_payout,source_bulk,source_detail,jra_official_check,data_status,notes
202507040101,2025-08-23,中京,1,障害3歳以上オープン,障害,3330,障害,6,晴,良,5,ヘザルフェン,2,2.7,1,パープルアドミラル,5,26.8,2,クラウンセト,1,1.6,270,1810,1 - 5:350 / 2 - 5:120 / 1 - 2:280,610,5120,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040101/,未照合,公開データ取得済,
202507040102,2025-08-23,中京,2,3歳未勝利,ダート,1800,未勝利,16,晴,良,2,タガノアニマシオン,7,27.2,9,モズプリヴェール,9,43.5,10,アイルランズコール,6,15.4,2720,38710,2 - 9:8310 / 2 - 10:4450 / 9 - 10:5030,122240,818630,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040102/,未照合,公開データ取得済,
202507040103,2025-08-23,中京,3,2歳未勝利,芝,1400,未勝利,9,曇,良,4,メイショウハッケイ,2,3.2,8,シックスリングス,4,4.7,3,トライアンフパス,1,3.2,320,900,4 - 8:320 / 3 - 4:210 / 3 - 8:210,710,4330,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040103/,未照合,公開データ取得済,
202507040104,2025-08-23,中京,4,3歳未勝利,芝,1200,未勝利,18,曇,良,12,ヤマニンレセディ,2,5.6,2,モズアカトンボ,8,19.4,5,メイショウハダル,5,8.7,560,4410,2 - 12:1860 / 5 - 12:1270 / 2 - 5:1720,11590,57930,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040104/,未照合,公開データ取得済,
202507040105,2025-08-23,中京,5,2歳新馬,芝,1400,新馬,10,曇,良,10,アルスマグナ,8,33.5,8,ゴッドアイ,1,2.1,4,マイリトルヒーロー,2,3.1,3350,4190,8 - 10:860 / 4 - 10:1310 / 4 - 8:210,3230,47750,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040105/,未照合,公開データ取得済,
202507040106,2025-08-23,中京,6,2歳新馬,ダート,1800,新馬,12,晴,良,4,シュガービスケッツ,7,15.4,11,モンサンゴールデン,3,4.4,5,ノースミソロジー,2,4.0,1540,2560,4 - 11:1070 / 4 - 5:1200 / 5 - 11:470,4140,30340,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040106/,未照合,公開データ取得済,
202507040107,2025-08-23,中京,7,3歳未勝利,ダート,1200,未勝利,16,晴,良,12,チムニーパイプ,3,5.8,3,ダンツトラバース,7,31.1,1,ムギトルナ,4,6.9,580,5500,3 - 12:1300 / 1 - 12:660 / 1 - 3:2160,8580,53390,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040107/,未照合,公開データ取得済,
202507040108,2025-08-23,中京,8,3歳以上1勝クラス,芝,2000,1勝,8,晴,良,2,フルレゾン,2,4.2,4,マーゴットレジーナ,1,1.8,7,ノーランサンライズ,6,14.4,420,360,2 - 4:180 / 2 - 7:620 / 4 - 7:440,1320,6200,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040108/,未照合,公開データ取得済,
202507040109,2025-08-23,中京,9,長良川特別(1勝),芝,2200,1勝,6,晴,良,1,パフュームセント,3,4.9,5,サンライズガッツ,6,40.2,2,ラブカ,2,3.7,490,4730,1 - 5:980 / 1 - 2:310 / 2 - 5:890,2750,24040,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040109/,未照合,公開データ取得済,
202507040110,2025-08-23,中京,10,有松特別(2勝),芝,1600,2勝,13,晴,良,7,モンテシート,2,3.9,13,テラメリタ,3,4.6,4,サクラオーラ,8,38.4,390,1030,7 - 13:490 / 4 - 7:1960 / 4 - 13:1740,7100,24690,https://github.com/uma-logic-user/uma-logic/blob/main/data/results_20250823.json,https://db.netkeiba.com/race/202507040110/,未照合,公開データ取得済,
